product_id,cmno,name,category_id,category,is_main,is_protein,price,calories,protein,fat,carb,sugar,sodium,n_servings,price_source
389,0664223,農心辛炒麵(起司風味),19,加工食品,1,1,45,560.0,11.0,18.2,88.0,8.4,1261.0,1,curated
390,1302242,火辣雞肉風味鐵板炒麵杯裝,19,加工食品,1,1,45,282.0,6.0,10.0,42.0,6.0,630.0,1,curated
391,1431095,辛辣白菜炒麵,19,加工食品,1,0,45,550.0,9.9,17.5,88.1,6.7,1604.0,1,curated
392,0705089,蒸蛋湯,5,小菜、滷味、湯品,0,1,45,134.0,15.0,6.1,4.8,2.2,870.0,1,curated
393,0533737,茶葉蛋白,5,小菜、滷味、湯品,0,1,45,45.2,9.2,0.1,1.8,0.8,348.0,1,curated
394,0011640,鹽味毛豆,15,冷凍食品,1,1,65,178.0,16.3,5.6,15.7,4.8,415.0,1,curated
395,1395134,鐵板豆腐燴蛋蓋飯,2,主餐麵食,1,1,99,555.0,21.4,14.6,84.0,6.4,870.0,1,tier
396,1204078,椒香風味豆腐棒,5,小菜、滷味、湯品,0,1,45,103.7,12.0,4.5,3.8,1.5,374.0,1,curated
397,1204096,義式香草豆腐棒,5,小菜、滷味、湯品,0,1,45,100.5,12.0,4.5,3.0,1.5,335.0,1,curated
398,0008922,味味一品麻辣臭豆腐麵,19,加工食品,1,1,45,556.0,19.8,27.5,57.3,4.6,2965.0,1,curated
399,0940710,海苔豆腐味噌湯,19,加工食品,0,1,45,29.0,1.7,0.6,4.7,0.6,677.0,1,curated
400,4420308,豆腐紫菜湯,19,加工食品,0,1,45,9.8,1.4,0.2,0.6,0.0,719.0,1,curated
401,4420803,日本全家豆腐海帶湯,19,加工食品,0,1,45,50.3,3.0,1.5,6.2,2.7,843.0,1,curated
402,4630597,甜酒豆腐乳,19,加工食品,0,1,900,420.0,20.0,12.0,58.0,46.0,5900.0,20,curated
403,0645043,剝皮辣椒雞湯,5,小菜、滷味、湯品,0,1,45,128.0,20.2,2.6,5.8,4.2,1194.0,1,curated
404,1118017,馬鈴薯玉米濃湯,5,小菜、滷味、湯品,0,0,45,224.0,8.4,8.7,28.2,9.6,729.0,1,curated
405,1284438,香菇雞燉湯,5,小菜、滷味、湯品,0,1,45,163.0,19.8,7.0,5.1,1.3,557.0,1,curated
406,1431845,三合一味噌湯,5,小菜、滷味、湯品,0,1,45,188.0,14.7,8.6,12.8,7.7,870.0,1,curated
407,1551015,小籠湯包,5,小菜、滷味、湯品,0,1,45,380.0,19.6,230.0,23.8,1.4,811.0,1,curated
408,1418611,燕麥綠豆湯,6,蛋糕甜品,0,1,105,219.0,4.5,5.1,39.9,24.9,33.0,3,curated
409,0313046,中熱玉米濃湯,8,現做飲料,0,0,50,211.0,0.0,0.0,0.0,10.0,0.0,1,curated
410,0011159,花生雙醬湯圓,15,冷凍食品,1,1,130,736.0,10.8,31.4,102.8,30.8,120.0,2,curated
411,0603093,經典小籠湯包,15,冷凍食品,1,1,130,234.0,13.2,7.8,27.8,2.8,342.0,2,curated
412,0655440,焦糖布丁湯圓,15,冷凍食品,1,0,130,624.0,8.0,25.2,91.4,10.6,40.0,2,curated
413,0967316,桂冠-阿華田包餡小湯圓,15,冷凍食品,1,0,130,586.0,8.4,19.0,95.2,11.0,414.0,2,curated
414,0967370,桂冠-紫糯米芋泥湯圓,15,冷凍食品,1,0,130,492.0,7.2,9.0,95.8,9.4,8.0,2,curated
415,1300454,桂冠-提拉米蘇湯圓,15,冷凍食品,1,0,130,532.0,8.4,15.8,89.0,8.8,28.0,2,curated
416,2410094,桂冠小湯圓,15,冷凍食品,1,1,195,753.0,13.8,14.1,142.5,9.3,3.0,3,curated
417,2410476,鮮肉湯圓,15,冷凍食品,1,1,130,604.0,13.2,31.6,66.8,4.4,334.0,2,curated
