salePageId,title,price,suggestPrice,isSoldOut
11362091,【冷藏店取-寶宏安柏】高達起司片(180g/包),121,145,False
11132149,【花芙家 】迷你仙草凍蛋糕寶盒(160g/盒),85,99,False
10777410,【蔡家虹手作三明治】巧克力乳酪(90g/個),45,55,False
11681639,【冷藏店取-安博格】安博格軟質起司抹醬(200g/個),145,165,False
11634781,【吳寶春x愛上新鮮】焙茶鐵觀音冰心維也納(145g±4.5%/個),135,159,False
11616924,【漾蛋糕】特極蛋糕-香濃花生(115g/盒),90,100,False
11616909,【漾蛋糕】特極蛋糕-夏日香檸(126g/盒),90,100,False
11362064,【冷藏店取-愛樂薇】水果優格-綜合莓果4入組(125g*4個/組),179,199,False
11769967,【弄餅家】椰香奶酥生吐司金磚(90gx1),45,45,False
11634794,【吳寶春x愛上新鮮】黑金可可冰心維也納(130g±4.5%/個)(效期至2026/07/13),135,159,False
11631324,【紅葉蛋糕】黑森林長條-1盒(580g±5%/盒),680,680,False
11362056,【冷藏店取-愛樂薇】水果優格-蜜桃4入組(125g*4個/組),179,199,False
11631330,【紅葉蛋糕】6吋芋泥布丁香草戚風蛋糕(862g±50g/盒),1089,1089,False
11631329,【紅葉蛋糕】黑櫻桃條-1盒(450g±5%/盒),680,680,False
11341136,【幽靈麵包】香椿奶油厚片(90gx1),39,45,False
11306779,【雪之戀】雪之戀雲朵燒- 布丁風味(500g/盒),210,250,False
11302444,【法藍四季】招牌肉鬆起酥三明治半條(單盒)(450g/盒),330,330,False
10777404,【言久嵢】醇波士頓派-海鹽焦糖(185g/盒),158,169,False
10549342,【冷凍店取-好丘】山茶花可頌三入組[全家限定](360g/組(3入))(效期至2026/06/15),279,297,False
10545626,【黑丸嫩仙草】【黑丸】招牌嫩仙草(2kg±1.5%/桶，共6桶/箱),840,840,False
10545615,【黑丸嫩仙草】【黑丸】檸檬寒天愛玉凍(2kg±1.5%/桶，共6桶/箱),840,840,False
11658688,【冷藏店取-安博格】安博格噴式鮮奶油29%(250g/瓶)(效期至2026/07/11),230,230,False
11631326,【紅葉蛋糕】6吋黑森林(670g±5%/盒),1089,1089,False
11577357,【冷藏店取-寶宏安柏】經典有鹽奶油(200g/盒),149,175,False
11566876,【冷藏店取—安博格】動物性鮮奶油35.1%(200ml/盒)(效期至2026/06/29),179,179,False
