solver,instance,feasible,obj,cost,cal,pro,fat,carb,sug,sod,n,items,combos,runtime,gap,cal_min,pro_min
MILP,rand_80p_25c_s3,1,95.6146,96.2,687.3,44.2,29.5,98.2,11.5,925.0,3,29|42|76,,0.041,0.0,635.3,44.8
GRASP,rand_80p_25c_s3,1,95.6146,96.2,687.3,44.2,29.5,98.2,11.5,925.0,3,29|42|76,,0.0642,0.0,635.3,44.8
Greedy,rand_80p_25c_s3,0,inf,111.6,819.3,67.4,30.4,126.5,17.1,3070.0,3,19|56|77,,0.0012,0.0,635.3,44.8
MILP,rand_80p_25c_s4,1,55.73,69.1,702.3,52.6,20.5,83.4,8.4,1046.0,2,43|64,,0.008,0.0,635.3,44.8
GRASP,rand_80p_25c_s4,1,55.73,69.1,702.3,52.6,20.5,83.4,8.4,1046.0,2,43|64,,0.0865,0.0,635.3,44.8
Greedy,rand_80p_25c_s4,0,inf,118.5,919.6,93.1,43.5,167.4,19.6,1653.0,4,12|63|64|73,,0.0014,0.0,635.3,44.8
MILP,rand_80p_25c_s5,1,88.7756,63.3,636.8,44.0,4.7,75.0,1.7,1056.0,2,57|66,,0.017,0.0,635.3,44.8
GRASP,rand_80p_25c_s5,1,88.7756,63.3,636.8,44.0,4.7,75.0,1.7,1056.0,2,57|66,,0.1,0.0,635.3,44.8
Greedy,rand_80p_25c_s5,0,inf,113.4,853.6,73.3,15.7,123.0,8.4,1453.0,3,54|57|66,,0.0012,0.0,635.3,44.8
MILP,rand_120p_35c_s1,1,49.6147,76.7,785.1,61.0,22.9,70.7,5.3,686.0,3,36|52|70,7,0.021,0.0,635.3,44.8
GRASP,rand_120p_35c_s1,1,49.6147,76.7,785.1,61.0,22.9,70.7,5.3,686.0,3,36|52|70,7,0.3092,0.0,635.3,44.8
Greedy,rand_120p_35c_s1,0,inf,112.5,389.4,91.6,34.8,46.6,6.6,1070.0,4,3|22|45|52,,0.0027,0.0,635.3,44.8
MILP,rand_120p_35c_s2,1,76.53,89.0,742.3,48.7,19.1,93.4,8.1,1039.0,3,20|41|60,,0.075,0.0,635.3,44.8
GRASP,rand_120p_35c_s2,1,95.6147,117.0,655.3,50.4,22.8,70.3,17.5,660.0,2,55|105,,0.6432,0.0,635.3,44.8
Greedy,rand_120p_35c_s2,0,inf,108.4,909.6,75.3,39.3,115.3,21.4,3598.0,4,41|82|109|113,,0.0066,0.0,635.3,44.8
MILP,rand_120p_35c_s3,1,55.0956,76.3,938.3,45.3,18.1,96.8,12.9,956.0,3,29|42|106,,0.109,0.0,635.3,44.8
GRASP,rand_120p_35c_s3,1,55.0956,76.3,938.3,45.3,18.1,96.8,12.9,956.0,3,29|42|106,,0.6496,0.0,635.3,44.8
Greedy,rand_120p_35c_s3,0,inf,107.1,940.2,67.4,41.6,94.4,16.9,2814.0,4,19|77|106|117,,0.0055,0.0,635.3,44.8
MILP,rand_120p_35c_s4,1,50.8474,67.5,744.4,45.5,24.4,108.2,20.4,578.0,3,20|30|119,,0.104,0.0,635.3,44.8
GRASP,rand_120p_35c_s4,1,50.8474,67.5,744.4,45.5,24.4,108.2,20.4,578.0,3,20|30|119,,0.7525,0.0,635.3,44.8
Greedy,rand_120p_35c_s4,0,inf,119.8,1163.4,103.8,30.1,124.1,18.8,3759.0,5,32|63|64|75|119,,0.0068,0.0,635.3,44.8
MILP,rand_120p_35c_s5,1,60.7647,74.8,729.9,44.7,23.5,66.4,3.2,924.0,2,57|103,,0.066,0.0,635.3,44.8
GRASP,rand_120p_35c_s5,1,60.7647,74.8,729.9,44.7,23.5,66.4,3.2,924.0,2,57|103,,0.5232,0.0,635.3,44.8
Greedy,rand_120p_35c_s5,0,inf,95.1,533.2,114.4,35.1,93.9,14.6,4382.0,5,66|90|100|101|111,,0.0006,0.0,635.3,44.8
MILP,rand_200p_60c_s1,1,52.25,74.0,676.0,44.7,19.5,90.4,9.2,376.0,3,36|52|122,,0.12,0.0,635.3,44.8
GRASP,rand_200p_60c_s1,1,52.25,74.0,676.0,44.7,19.5,90.4,9.2,376.0,3,36|52|122,,3.1746,0.0,635.3,44.8
Greedy,rand_200p_60c_s1,0,inf,104.9,284.6,93.2,43.2,42.3,6.4,891.0,4,3|45|52|188,,0.0296,0.0,635.3,44.8
MILP,rand_200p_60c_s2,1,45.55,69.0,666.8,46.9,20.3,88.8,20.0,856.0,3,23|41|145,,0.093,0.0,635.3,44.8
GRASP,rand_200p_60c_s2,1,45.55,69.0,666.8,46.9,20.3,88.8,20.0,856.0,3,23|41|145,,1.6766,0.0,635.3,44.8
Greedy,rand_200p_60c_s2,0,inf,112.4,941.4,113.3,33.9,93.0,7.6,3741.0,5,41|149|158|170|174,,0.0006,0.0,635.3,44.8
MILP,rand_200p_60c_s3,1,43.5146,66.4,942.2,46.2,23.6,105.4,21.1,895.0,3,1|106|172,,0.107,0.0,635.3,44.8
GRASP,rand_200p_60c_s3,1,68.7693,69.8,723.4,45.5,24.0,69.2,10.8,1063.0,2,106|125,,2.1565,0.0,635.3,44.8
Greedy,rand_200p_60c_s3,0,inf,117.4,903.7,92.8,42.4,79.5,14.4,2548.0,5,77|106|132|155|172,,0.0012,0.0,635.3,44.8
MILP,rand_200p_60c_s4,1,49.4646,65.0,753.6,56.1,27.7,87.2,19.9,569.0,3,20|119|133,,0.164,0.0,635.3,44.8
GRASP,rand_200p_60c_s4,1,49.4646,65.0,753.6,56.1,27.7,87.2,19.9,569.0,3,20|119|133,,1.4314,0.0,635.3,44.8
Greedy,rand_200p_60c_s4,0,inf,106.8,934.7,101.6,46.5,124.7,10.3,2729.0,5,12|64|75|119|133,,0.0011,0.0,635.3,44.8
MILP,rand_200p_60c_s5,1,60.7647,74.8,729.9,44.7,23.5,66.4,3.2,924.0,2,57|103,,0.181,0.0,635.3,44.8
GRASP,rand_200p_60c_s5,1,60.7647,74.8,729.9,44.7,23.5,66.4,3.2,924.0,2,57|103,,1.7802,0.0,635.3,44.8
Greedy,rand_200p_60c_s5,0,inf,96.5,795.7,125.0,49.1,96.1,15.8,4800.0,5,90|100|101|111|199,,0.0006,0.0,635.3,44.8
MILP,rand_300p_90c_s1,1,39.9293,52.8,792.3,46.4,25.3,69.1,3.3,340.0,2,256|278,,0.102,0.0,635.3,44.8
GRASP,rand_300p_90c_s1,1,39.9293,52.8,792.3,46.4,25.3,69.1,3.3,340.0,2,256|278,,5.8315,0.0,635.3,44.8
Greedy,rand_300p_90c_s1,0,inf,103.9,507.6,109.0,46.9,49.3,6.0,2589.0,5,3|188|208|239|256,,0.0009,0.0,635.3,44.8
MILP,rand_300p_90c_s2,1,45.55,69.0,666.8,46.9,20.3,88.8,20.0,856.0,3,23|41|145,,0.247,0.0,635.3,44.8
